-151.70	18.	1	9788360113073			Ksiazka NAJLEPSzE PROJEKTY DOMoW			http://www.ceneo.pl/1310307
-151.79	18.	1	9788371326158			Ksiazka Mysli i anegdoty			http://www.ceneo.pl/1318840
-150.56	19.	1	9788372003454			Ksiazka Skandal stulecia i inne felietony			http://www.ceneo.pl/10535716
-143.12	19.	1	9788388925191			Ksiazka Ai Pedrito			http://www.ceneo.pl/1304157
-63.688	19.	2	9788372123954			Groszek			http://www.ceneo.pl/7653619
-12.290	5.4	1	9788374953702			Ksiazka Cien wiatru			http://www.ceneo.pl/1114183
-9.6768	-38	1	9788375150025			Ksiazka Niewyspani			http://www.ceneo.pl/1259164
-4.8519	32.	1	9788372555083			Ksiazka Podroz felicji			http://www.ceneo.pl/10535690
8.08356	32.	1	9788374693530			Ksiazka Pulpa fikcyjna albo dwa wesela i pogrzeb K			http://www.ceneo.pl/8175910
40.1671	-33	1	9788308036389			Dyskretne podgladanie rodakow			http://www.ceneo.pl/9250378
44.2825	-5.	1	9788325708856		alt="be	Ksiazka Pamiec murow. Szkice z historii Sandomierz			http://www.ceneo.pl/40189458
83.3995	-23	1	9788378184829		twarda	Obled 44			http://www.ceneo.pl/27655730
107.623	2.7	1	9788371507281			Ksiazka Kicia,krol piratow			http://www.ceneo.pl/8175662
142.300	-0.	1	9788308034330			Eden			http://www.ceneo.pl/16683458
151.653	-37	2	9788311101234			Fatum. Blekitny dom			http://www.ceneo.pl/1266643
153.620	-5.	1	9788373013841			Ksiazka Nagie slonce			http://www.ceneo.pl/42666392
168.099	-21	1	9782253160779			Ksiazka Quo vadisa			http://www.ceneo.pl/2716069
186.577	-21	1	9785389032521			Ksiazka Parfiumer Istoria odnogo ubiccy			http://www.ceneo.pl/21081152
186.577	-21	1	9785488027947			Ksiazka Skazki narodow Rosii			http://www.ceneo.pl/21081222
186.577	-21	1	9785699456895			Ksiazka Omon Ra			http://www.ceneo.pl/21081146
186.577	-21	1	9785699479009			Ksiazka Dzejn Ejr			http://www.ceneo.pl/21080993
189.148	-9.	1	9788373012783			Egipt w czasach Napoleona			http://www.ceneo.pl/8731894
193.399	2.1	2	9788881487028			Ksiazka Le livre de la jungle /CD /			http://www.ceneo.pl/11683963
207.811	-37	2	9788373917354			Ksiazka Dziewczyny Bonda			http://www.ceneo.pl/1324371
219.891	-15	1	9788373018259			Ksiazka Dama z gronostajem			http://www.ceneo.pl/1255448
221.049	-8.	1	9788373018624			Ksiazka Dieta South Beach			http://www.ceneo.pl/1315715
240.662	2.8	1	9788372981684			Ksiazka Diabel na wolnosci			http://www.ceneo.pl/10535589
253.305	2.8	1	9788372981349			Ksiazka Pamietnik diabla			http://www.ceneo.pl/8175900
